posicao_ranking,id_do_prospect,numero_do_lead,origem_do_lead,fonte_do_lead,ultima_atividade,especializacao,ocupacao_atual,cidade,probabilidade_conversao,probabilidade_percentual,previsao_modelo,convertido_real,prioridade,acao_sugerida
1,c20320d6-6059-4e80-9b3f-d774442c92c4,633956,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão Financeira,Profissional Empregado,Não informado,0.9609450266059322,96.09,1,1,Alta,Contato comercial imediato
2,6af21254-d8c1-4422-977f-487ae011cf65,614042,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão Financeira,Profissional Empregado,Não informado,0.9609450266059322,96.09,1,1,Alta,Contato comercial imediato
3,419ae0f6-7c68-439a-a25c-3152d9fe8632,634027,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão Financeira,Profissional Empregado,Não informado,0.9609450266059322,96.09,1,1,Alta,Contato comercial imediato
4,01f6dfbf-d89b-4599-b080-5539e587b767,605220,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão Financeira,Profissional Empregado,Não informado,0.9609450266059322,96.09,1,1,Alta,Contato comercial imediato
5,3ccec243-24e7-4796-aa58-d3fdf9a8d5cf,587953,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão Financeira,Profissional Empregado,Não informado,0.9609450266059322,96.09,1,1,Alta,Contato comercial imediato
6,e89acbb8-4dcf-4ee9-87a0-b549cb05389c,588025,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão Financeira,Profissional Empregado,Não informado,0.9609450266059322,96.09,1,1,Alta,Contato comercial imediato
7,5466f42c-df44-46f9-8bec-0a2e29dd33bc,633922,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão Financeira,Profissional Empregado,Não informado,0.9609450266059322,96.09,1,1,Alta,Contato comercial imediato
8,1b8b95eb-136c-4550-ae3e-4fa3533296f2,632816,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão Financeira,Profissional Empregado,Não informado,0.9609450266059322,96.09,1,1,Alta,Contato comercial imediato
9,37465564-9752-4a25-adb0-8beeb99b7a95,633965,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão Financeira,Profissional Empregado,Não informado,0.9609450266059322,96.09,1,1,Alta,Contato comercial imediato
10,5985234d-8607-4e1a-870b-bd0f139e36e7,588019,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão Financeira,Profissional Empregado,Não informado,0.9609450266059322,96.09,1,1,Alta,Contato comercial imediato
11,35889727-7371-40f3-8451-b267a328a283,633959,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão Financeira,Profissional Empregado,Não informado,0.9609450266059322,96.09,1,1,Alta,Contato comercial imediato
12,5e026ee7-1eb5-4836-b1d0-62069659751b,614103,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão Financeira,Profissional Empregado,Não informado,0.9609450266059322,96.09,1,1,Alta,Contato comercial imediato
13,d5a9b668-ddad-4795-bf0e-a28390748a90,605216,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão Financeira,Profissional Empregado,Não informado,0.9609450266059322,96.09,1,1,Alta,Contato comercial imediato
14,8d53c875-1ce5-4288-a539-07cc01450f7f,588000,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão Financeira,Profissional Empregado,Não informado,0.9609450266059322,96.09,1,1,Alta,Contato comercial imediato
15,7b00aa14-d76a-448c-bb99-9af1e1088018,633120,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão Financeira,Profissional Empregado,Não informado,0.9609450266059322,96.09,1,1,Alta,Contato comercial imediato
16,70fd53ea-0820-4f83-8c8d-59b60ea645b4,605259,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão Financeira,Profissional Empregado,Não informado,0.9609450266059322,96.09,1,1,Alta,Contato comercial imediato
17,3de6cab2-4e95-4696-805a-1de0e452daf4,632807,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Operações,Profissional Empregado,Não informado,0.9599912112517093,96.0,1,1,Alta,Contato comercial imediato
18,d0849dba-2a45-4672-9e10-12a1248e8539,633962,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Operações,Profissional Empregado,Não informado,0.9599912112517093,96.0,1,1,Alta,Contato comercial imediato
19,69f3ab40-b1aa-42ff-afb5-b69a9062a98c,607109,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Operações,Profissional Empregado,Não informado,0.9599912112517093,96.0,1,1,Alta,Contato comercial imediato
20,5ca37d52-ad07-4658-8313-75afd90f31f3,614096,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Operações,Profissional Empregado,Não informado,0.9599912112517093,96.0,1,1,Alta,Contato comercial imediato
