especializacao,total_leads,convertidos,taxa_conversao,participacao_na_base
Gestão em Saúde,159,79,49.69,1.72
"Bancos, Investimentos e Seguros",338,167,49.41,3.66
Gestão de Marketing,838,408,48.69,9.07
Gestão de Operações,503,238,47.32,5.44
Gestão de Recursos Humanos,848,388,45.75,9.18
Gestão Financeira,976,436,44.67,10.56
Administração de Empresas,403,179,44.42,4.36
Gestão da Cadeia de Suprimentos,349,151,43.27,3.78
Rural e Agronegócio,73,31,42.47,0.79
Gestão de Hospitalidade,114,48,42.11,1.23
Mídia e Publicidade,203,85,41.87,2.2
Gestão de Projetos de TI,366,140,38.25,3.96
Negócios Digitais,57,21,36.84,0.62
Negócios Internacionais,178,64,35.96,1.93
E-commerce,112,40,35.71,1.21
Viagens e Turismo,203,72,35.47,2.2
Gestão de Varejo,100,34,34.0,1.08
Não informado,3380,969,28.67,36.58
Excelência em Serviços,40,11,27.5,0.43
