ultima_atividade,total_leads,convertidos,taxa_conversao,participacao_na_base
Abordado Diretamente,9,9,100.0,0.1
E-mail Marcado como Spam,2,2,100.0,0.02
Reinscrito em E-mails,1,1,100.0,0.01
E-mail Recebido,2,2,100.0,0.02
Não informado,103,81,78.64,1.11
Teve Conversa por Telefone,30,22,73.33,0.32
SMS Enviado,2745,1727,62.91,29.71
E-mail Aberto,3437,1253,36.46,37.2
Inalcançável,93,31,33.33,1.01
Link do E-mail Clicado,267,73,27.34,2.89
Descadastrado,61,16,26.23,0.66
Formulário Enviado no Site,116,28,24.14,1.26
Página Visitada no Site,640,151,23.59,6.93
Link Ver no Navegador Clicado,6,1,16.67,0.06
Convertido em Lead,428,54,12.62,4.63
Conversa no Chat Olark,973,84,8.63,10.53
E-mail Rejeitado,326,26,7.98,3.53
Visitou Estande em Feira,1,0,0.0,0.01
