ultima_atividade_relevante,total_leads,convertidos,taxa_conversao,participacao_na_base
Abordado Diretamente,1,1,100.0,0.01
E-mail Marcado como Spam,2,2,100.0,0.02
E-mail Recebido,1,1,100.0,0.01
Reinscrito em E-mails,1,1,100.0,0.01
Teve Conversa por Telefone,14,13,92.86,0.15
SMS Enviado,2172,1508,69.43,23.51
Inalcançável,32,22,68.75,0.35
E-mail Aberto,2827,1044,36.93,30.6
Descadastrado,47,14,29.79,0.51
Página Visitada no Site,318,93,29.25,3.44
Link do E-mail Clicado,173,45,26.01,1.87
Modificado,3407,783,22.98,36.87
E-mail Rejeitado,60,9,15.0,0.65
Conversa no Chat Olark,183,25,13.66,1.98
Formulário Enviado no Site,1,0,0.0,0.01
Link Ver no Navegador Clicado,1,0,0.0,0.01
